,text,response,label
28,"A creative experiment for testing bird's understanding of human speech is make a life or death situation for the bird. maybe like a scene from the movie saw or something. tell the bird what to do to save its life and if it understands the gravity of the situation and you, then it should do it. ","make a life or death situation for the bird. maybe like a scene from the movie saw or something. tell the bird what to do to save its life and if it understands the gravity of the situation and you, then it should do it. ",0.7122302
29,"A creative hypothesis for why students sing in hallways at a new school is if that school has music playing in the hallways, then more people will sing","If that school has music playing in the hallways, then more people will sing",0.65126896
30,A creative research question for a jungle containing no human life is are there any living species within this jungle,are there any living species within this jungle,0.37383145
31,A creative research question for a jungle containing no human life is how have humans impacted the life of this jungle without being there?,How have humans impacted the life of this jungle without being there?,0.47203627
32,A creative research question for a remote island with nonverbal communication is what do you use to communicate with one another,What do you use to communicate with one another,0.4264903
33,A creative hypothesis for why students sing in hallways at a new school is students enjoy to sing more at this school,students enjoy to sing more at this school,0.39089257
34,A creative experiment for testing friendliness at different schools is you could compare your experiences with students at your school to another individual similar to yourself at a different school,You could compare your experiences with students at your school to another individual similar to yourself at a different school,0.5126857
35,A creative research question for a jungle containing no human life is any predators,any predators,0.43979922
36,A creative hypothesis for why students sing in hallways at a new school is this school is more laid back then your last school who might have been more strict with things ,this school is more laid back then your last school who might have been more strict with things ,0.6060079
37,"A creative hypothesis for why stars disappear from the sky is the universe is beginning to die, and the furthest stars are those that die first. ","the universe is beginning to die, and the furthest stars are those that die first. ",0.534262
38,A creative experiment for testing friendliness at different schools is simulation to see how they respond to certain situations,simulation to see how they respond to certain situations,0.55178124
39,A creative research question for an unexplored part of the ocean floor is what new animals live here and why,what new animals live here and why,0.45393714
40,"A creative hypothesis for why water is warmer in one lake than another is the warmer lake is much smaller and has a lower volume of water so it takes less sunlight to raise its temperature, which is why it is warmer","The warmer lake is much smaller and has a lower volume of water so it takes less sunlight to raise its temperature, which is why it is warmer",0.48461917
41,"A creative research question for a remote island with nonverbal communication is are sounds, if not speaking still a part of their expression","are sounds, if not speaking still a part of their expression",0.5268435
42,A creative research question for a jungle containing no human life is are there plants in this jungle that can be found nowhere else?,are there plants in this jungle that can be found nowhere else?,0.35092863
43,A creative research question for a remote island with nonverbal communication is do they have civilization,do they have civilization,0.23768651
44,A creative experiment for testing effects of water and sunlight on flower growth is take sunlight away and see if it grows,take sunlight away and see if it grows,0.3712218
45,A creative hypothesis for why students sing in hallways at a new school is this is a musical school,This is a musical school,0.39089257
46,A creative experiment for testing mind-reading abilities is have the cousin guess about random strangers then ask them what they are thinking,have the cousin guess about random strangers then ask them what they are thinking,0.14542043
47,A creative research question for a remote island with nonverbal communication is what do their clothing represent,what do their clothing represent,0.46143034
48,A creative hypothesis for why water is warmer in one lake than another is the difference of tempeture can cause a decrease in the ecosystem  populatation,the difference of tempeture can cause a decrease in the ecosystem  populatation,0.48461917
49,A creative experiment for testing effects of water and sunlight on flower growth is add certain chemicals to plants and compare,add certain chemicals to plants and compare,0.55178124
50,A creative research question for a new planet outside of our galaxy is is there a star similar to the sun that could produce light and heat?,is there a star similar to the sun that could produce light and heat?,0.76171863
51,A creative experiment for testing bird's understanding of human speech is put a human and a bird in a room together and have the human give a talk about birds and see what the bird does,put a human and a bird in a room together and have the human give a talk about birds and see what the bird does,0.42225713
52,A creative research question for a new planet outside of our galaxy is what is the climate like,what is the climate like,0.5702556
53,A creative research question for a robot that can learn and think like humans is how will this benefit the world?,how will this benefit the world?,0.4123834
54,A creative hypothesis for why stars disappear from the sky is i would say its because the stars are burning out or their light has ended after travelling many years through space,I would say its because the stars are burning out or their light has ended after travelling many years through space,0.4002797
55,A creative experiment for testing mind-reading abilities is ask him to read you mind at random times throughout the day then ask him to summarize at the end of the day ,ask him to read you mind at random times throughout the day then ask him to summarize at the end of the day ,0.6395785
56,A creative research question for a new planet outside of our galaxy is are we aliens to them like they are to us,Are we aliens to them like they are to us,0.43236804
57,A creative research question for a remote island with nonverbal communication is how does human communication resemble and differ from animal communication,How does human communication resemble and differ from animal communication,0.41794154
58,A creative research question for a jungle containing no human life is what kind of food is available in this jungle?,What kind of food is available in this jungle?,0.33485132
59,"A creative experiment for testing bird's understanding of human speech is if the bird understand you and flies away, that means they understand, if they don't, they do not understand","if the bird understand you and flies away, that means they understand, if they don't, they do not understand",0.29071885
60,A creative hypothesis for why dogs like one friend and cats like another is friend who cat likes has a cat at home,friend who cat likes has a cat at home,0.334761
61,A creative experiment for testing mind-reading abilities is i can have my cousin and some people sit in the same room and write down topics on a piece of paper. some people in the group will know of this super power while others do not. the test will be to see if my cousin can get the same thing as the people who do not know their mind is being read,I can have my cousin and some people sit in the same room and write down topics on a piece of paper. some people in the group will know of this super power while others do not. the test will be to see if my cousin can get the same thing as the people who do not know their mind is being read,0.534262
62,A creative hypothesis for why students sing in hallways at a new school is the new school is a very big musical school,the new school is a very big musical school,0.3324469
63,A creative experiment for testing mind-reading abilities is read their mind when they are talking to someone,read their mind when they are talking to someone,0.43388668
64,A creative research question for a new planet outside of our galaxy is any source of shelter?,Any source of shelter?,0.50911164
65,A creative hypothesis for why water is warmer in one lake than another is is animal life affected by the amount of sunlight shown,is animal life affected by the amount of sunlight shown,0.54603827
66,"A creative hypothesis for why water is warmer in one lake than another is the ph of one lake is lower than another, causing the temperature to rise","the pH of one lake is lower than another, causing the temperature to rise",0.67506903
67,A creative hypothesis for why stars disappear from the sky is there are clouds in front of them,there are clouds in front of them,0.42712927
68,A creative research question for a new planet outside of our galaxy is can the planet support all life?,Can the planet support all life?,0.41275284
69,A creative experiment for testing friendliness at different schools is send out a survey to different schools and look at results,send out a survey to different schools and look at results,0.3662877
70,A creative research question for an unexplored part of the ocean floor is how long will it take to reach the bottom of the ocean,how long will it take to reach the bottom of the ocean,0.35092863
71,A creative research question for a jungle containing no human life is has human life been here before,has human life been here before,0.41275284
72,A creative hypothesis for why students sing in hallways at a new school is if students sing in the hallways now then maybe they just joined the choir,if students sing in the hallways now then maybe they just joined the choir,0.5268435
73,A creative hypothesis for why students sing in hallways at a new school is students at this new school seem to be happier,Students at this new school seem to be happier,0.39089257
74,A creative research question for an unexplored part of the ocean floor is what life exists on this part of the ocean floor,What life exists on this part of the ocean floor,0.21049882
75,A creative experiment for testing mind-reading abilities is assigning them friends to read minds and then asking the friends what they were thinking,assigning them friends to read minds and then asking the friends what they were thinking,0.14542043
76,A creative experiment for testing friendliness at different schools is by talking crap about someone in front of both sets of students and see who stands up for the kid more,By talking crap about someone in front of both sets of students and see who stands up for the kid more,0.58637357
77,A creative hypothesis for why there are massive holds in a field is an institution for kids who get in trouble have to dig holes,an institution for kids who get in trouble have to dig holes,0.42264095
78,A creative hypothesis for why stars disappear from the sky is the stars are exploding or planes are flying past them,the stars are exploding or planes are flying past them,0.43979922
79,A creative hypothesis for why students sing in hallways at a new school is there is a popular new song on the radio,there is a popular new song on the radio,0.5597168
80,A creative research question for a new planet outside of our galaxy is how far is it from earth,how far is it from earth,0.39607576
81,A creative experiment for testing if animals have a sense of humor is tell a joke and see the reaction of the animal compared to the human which could be laughter or confusion,tell a joke and see the reaction of the animal compared to the human which could be laughter or confusion,0.36201036
82,A creative experiment for testing friendliness at different schools is put groups of people from multiple schools in a social setting and see what group makes the most friends,put groups of people from multiple schools in a social setting and see what group makes the most friends,0.5818152
83,A creative research question for a new planet outside of our galaxy is is there other life on the planet and how do they live?,Is there other life on the planet and how do they live?,0.48297718
84,A creative experiment for testing mind-reading abilities is ask them to choose between thoughts with which one is real,ask them to choose between thoughts with which one is real,0.41033193
85,A creative research question for a jungle containing no human life is can this jungle sustain life for any organism,can this jungle sustain life for any organism,0.36910617
86,A creative research question for a remote island with nonverbal communication is do they use gestures,do they use gestures,0.39288405
87,A creative experiment for testing mind-reading abilities is then do it again on your dad ,then do it again on your dad ,0.13338163
88,A creative research question for a jungle containing no human life is what is the flora and fauna in the jungle like?`,what is the flora and fauna in the jungle like?`,0.41275284
89,A creative research question for a new planet outside of our galaxy is does this planet receieve it's heat from the sun?,Does this planet receieve it's heat from the sun?,0.54121345
90,A creative experiment for testing if animals have a sense of humor is place animals in an enclosure or room where they cannot be contacted by humans,place animals in an enclosure or room where they cannot be contacted by humans,0.36201036
91,A creative research question for a remote island with nonverbal communication is in what way do you communicate,in what way do you communicate,0.35092863
92,A creative hypothesis for why stars disappear from the sky is the world is either moving too fast or too slow than normal rate,the world is either moving too fast or too slow than normal rate,0.42712927
93,A creative experiment for testing bird's understanding of human speech is say you are going to set up a trap infront of the bird to capture it and see how it reacts,Say you are going to set up a trap infront of the bird to capture it and see how it reacts,0.6529012
94,A creative experiment for testing bird's understanding of human speech is test the brain activity of a bird when they are involved in a human dispute,test the brain activity of a bird when they are involved in a human dispute,0.49891827
95,A creative experiment for testing mind-reading abilities is take them out to random places and have your cousin try to talk to random people and have him write down what he thinks they are thinking and then ask the person what they are thinking ,take them out to random places and have your cousin try to talk to random people and have him write down what he thinks they are thinking and then ask the person what they are thinking ,0.4978909
96,A creative research question for a new planet outside of our galaxy is could we try to move the human population to this new planet?,Could we try to move the human population to this new planet?,0.54565376
97,A creative research question for an unexplored part of the ocean floor is how deep is this part of the ocean,how deep is this part of the ocean,0.21049882
98,A creative hypothesis for why water is warmer in one lake than another is if a lake is geographically higher than the other it will be colder than the other lake because temperature drops as the height increases,if a lake is geographically higher than the other it will be colder than the other lake because temperature drops as the height increases,0.67506903
99,A creative research question for a new planet outside of our galaxy is to what extent does our galaxy influence our perception of travel,to what extent does our galaxy influence our perception of travel,0.78167087
100,A creative research question for a jungle containing no human life is why this jungle is important?,Why this jungle is important?,0.40748125
101,"A creative experiment for testing if animals have a sense of humor is get a bunch of cats in a room together and give them catnip. watch how they behave. if they start pushing glasses off of counters, they might be making themselves laugh.","get a bunch of cats in a room together and give them catnip. watch how they behave. if they start pushing glasses off of counters, they might be making themselves laugh.",0.70539683
102,A creative hypothesis for why water is warmer in one lake than another is the warmer lake is shallower than the other lake,the warmer lake is shallower than the other lake,0.35092863
103,A creative experiment for testing friendliness at different schools is set up group actitivities see how many people respond,Set up group actitivities see how many people respond,0.3662877
104,A creative experiment for testing mind-reading abilities is ask him to randomly tell you your thoughts,ask him to randomly tell you your thoughts,0.5250234
105,A creative hypothesis for why there are massive holds in a field is are these reoccurring due to nature or were the holes places here for a specific reason?,are these reoccurring due to nature or were the holes places here for a specific reason?,0.65771616
106,A creative hypothesis for why stars disappear from the sky is they weren't stars but rather meteors that have burnt out,they weren't stars but rather meteors that have burnt out,0.67825735
107,A creative experiment for testing bird's understanding of human speech is test if bird's react to other organisms then compare it to how they react to humans,test if bird's react to other organisms then compare it to how they react to humans,0.6267761
108,A creative experiment for testing friendliness at different schools is observe what makes them friendly,observe what makes them friendly,0.26757768
109,"A creative experiment for testing friendliness at different schools is get a random sample of students and put them is situations that would test their friendliness , this studets would not be from your school. then get a random sample fo students from your school and put them in the same situation and see the results","Get a random sample of students and put them is situations that would test their friendliness , this studets would not be from your school. Then get a random sample fo students from your school and put them in the same situation and see the results",0.4424559
110,A creative research question for a new planet outside of our galaxy is what star does it orbit,what star does it orbit,0.50911164
111,A creative research question for a new planet outside of our galaxy is how far away is it from earth,how far away is it from earth,0.4002797
112,A creative research question for an unexplored part of the ocean floor is what species of aquatic life live here,what species of aquatic life live here,0.24087115
113,A creative hypothesis for why stars disappear from the sky is the stars collected too much energy,the stars collected too much energy,0.4978909
114,A creative experiment for testing if animals have a sense of humor is try to do different actions that humans would find funny and see if animals have any reactions to them.,try to do different actions that humans would find funny and see if animals have any reactions to them.,0.46179873
115,A creative research question for a jungle containing no human life is what is there to eat in this jungle?,What is there to eat in this jungle?,0.44160655
116,A creative research question for a robot that can learn and think like humans is is this an ethical invention,is this an ethical invention,0.64485186
117,A creative research question for a new planet outside of our galaxy is what percent of the atmosphere is oxygen?,What percent of the atmosphere is oxygen?,0.49338198
118,A creative research question for a jungle containing no human life is are there species we don't know about that live in this jungle?,are there species we don't know about that live in this jungle?,0.35092863
119,A creative hypothesis for why there are massive holds in a field is how do these holes affect the wildlife that surrounds them?,how do these holes affect the wildlife that surrounds them?,0.28368452
120,A creative research question for a new planet outside of our galaxy is is there an atmosphere,Is there an atmosphere,0.36201036
121,A creative hypothesis for why water is warmer in one lake than another is the lake that is warmer may have different soil/water which may absorb heat differently,The lake that is warmer may have different soil/water which may absorb heat differently,0.7288139
122,A creative research question for an unexplored part of the ocean floor is what species of fish live here,what species of fish live here,0.30731547
123,A creative experiment for testing effects of water and sunlight on flower growth is keep sunlight constant and change water,keep sunlight constant and change water,0.3712218
124,"A creative research question for an unexplored part of the ocean floor is what kinds of life, if any, can be found in this part of the ocean","what kinds of life, if any, can be found in this part of the ocean",0.2519095
125,A creative experiment for testing bird's understanding of human speech is if they didn't flap twice i would assume that they don't understand,if they didn't flap twice I would assume that they don't understand,0.1155048
126,A creative research question for a new planet outside of our galaxy is is it possible for life in general to live on this planet?,Is it possible for life in general to live on this planet?,0.5702556
127,A creative experiment for testing friendliness at different schools is figure out what classes and extracurriculars are available ,figure out what classes and extracurriculars are available ,0.20524369
128,A creative research question for a jungle containing no human life is how does this ecosystem differ from our regular ecosystem,How does this ecosystem differ from our regular ecosystem,0.47203627
129,A creative research question for a jungle containing no human life is why is there no human life in a jungle?,why is there no human life in a jungle?,0.2691182
130,A creative hypothesis for why stars disappear from the sky is the time of night may be changing. it could be getting closer to morning,the time of night may be changing. it could be getting closer to morning,0.334761
131,A creative hypothesis for why dogs like one friend and cats like another is the pets that the two girls own might determine which animal is drawn to them. the girl that the dogs like might own dogs which is why they like her and vice versa.,the pets that the two girls own might determine which animal is drawn to them. the girl that the dogs like might own dogs which is why they like her and vice versa.,0.5656477
132,A creative hypothesis for why students sing in hallways at a new school is there are more students singing because the school has music playing in the hallway,There are more students singing because the school has music playing in the hallway,0.39089257
133,A creative research question for an unexplored part of the ocean floor is what organisms are there,what organisms are there,0.21049882
134,A creative hypothesis for why water is warmer in one lake than another is people are using chemical or man made water heaters,people are using chemical or man made water heaters,0.6395785
135,A creative hypothesis for why stars disappear from the sky is the stars that are disappearing are old and dying,the stars that are disappearing are old and dying,0.4932659
136,A creative hypothesis for why dogs like one friend and cats like another is does your friend have a certain smell that each animal likes,does your friend have a certain smell that each animal likes,0.4978909
137,A creative research question for a new planet outside of our galaxy is how was this planet originally formed?,how was this planet originally formed?,0.64271617
138,A creative hypothesis for why dogs like one friend and cats like another is the friends that the dog likes might not be the same gender as the people that your cat likes,the friends that the dog likes might not be the same gender as the people that your cat likes,0.6298836
139,A creative research question for a remote island with nonverbal communication is do  people from this island have a harder  time  communicating  their feeling  than  people that  speak?,do  people from this island have a harder  time  communicating  their feeling  than  people that  speak?,0.7426015
140,A creative research question for an unexplored part of the ocean floor is what types of species can i find on this part of the ocean floor?,what types of species can i find on this part of the ocean floor?,0.37383145
141,A creative research question for a new planet outside of our galaxy is does this planet have lifeforms different from humans?,does this planet have lifeforms different from humans?,0.37383145
142,A creative research question for a new planet outside of our galaxy is does this planet have life on it already?,does this planet have life on it already?,0.3248986
143,A creative research question for a jungle containing no human life is how good/bad is the sun coverage?,How good/bad is the sun coverage?,0.5759038
144,A creative hypothesis for why students sing in hallways at a new school is they are practicing for the upcoming school musical,they are practicing for the upcoming school musical,0.5656477
145,A creative hypothesis for why stars disappear from the sky is if the stars are comets then they will disapper from the sky,If the stars are comets then they will disapper from the sky,0.8846656
146,A creative experiment for testing friendliness at different schools is ask people from other schools and your school to write a letter to a new exchange student,ask people from other schools and your school to write a letter to a new exchange student,0.7274317
147,A creative hypothesis for why stars disappear from the sky is human eyes are flawed,human eyes are flawed,0.2105981
148,A creative experiment for testing if animals have a sense of humor is start laughing and see how they react,start laughing and see how they react,0.5740804
149,A creative research question for an unexplored part of the ocean floor is how does life there interact with life above,how does life there interact with life above,0.7032214
150,A creative research question for a new planet outside of our galaxy is is their other life on this planet?,Is their other life on this planet?,0.33702528
151,A creative research question for a jungle containing no human life is how long will i be here?,How long will I be here?,0.22441548
152,A creative experiment for testing mind-reading abilities is just talk to them normally,just talk to them normally,0.26757768
153,"A creative hypothesis for why dogs like one friend and cats like another is if someone owns a dog, then they must know how to better interact with dogs","If someone owns a dog, then they must know how to better interact with dogs",0.5493079
154,A creative hypothesis for why students sing in hallways at a new school is the new school is located in a city that has a lot of history of music,The new school is located in a city that has a lot of history of music,0.61858505
155,A creative hypothesis for why there are massive holds in a field is people were drilling for oil,people were drilling for oil,0.5656477
156,A creative experiment for testing mind-reading abilities is do the test on random people in a public place,do the test on random people in a public place,0.14542043
157,A creative experiment for testing mind-reading abilities is have my cousin read the mind of the president and see if their actions coincide with the mind reading. ,have my cousin read the mind of the president and see if their actions coincide with the mind reading. ,0.89325255
158,A creative experiment for testing mind-reading abilities is have a study where participants only know the purpose of the study afterwards and the cousin reads their mind and they take a survey of how accurate the reading was,Have a study where participants only know the purpose of the study afterwards and the cousin reads their mind and they take a survey of how accurate the reading was,0.5250234
159,"A creative research question for a new planet outside of our galaxy is does this planet have oxygen, so us humans can go explore it","does this planet have oxygen, so us humans can go explore it",0.50045246
160,A creative research question for a new planet outside of our galaxy is is it a gaseous planet or does it have solid matter,Is it a gaseous planet or does it have solid matter,0.6301014
161,A creative experiment for testing bird's understanding of human speech is by talking to a bird about killing it. that is important to its life and would make it talk if that hypothesis is true.,by talking to a bird about killing it. that is important to its life and would make it talk if that hypothesis is true.,0.76668954
162,A creative hypothesis for why water is warmer in one lake than another is one side might be more active than the other? for instance people might be on the left side making it just a tad warmer?,one side might be more active than the other? for instance people might be on the left side making it just a tad warmer?,0.5656477
163,A creative hypothesis for why stars disappear from the sky is is this situation different in different parts of the world,is this situation different in different parts of the world,0.6479127
164,A creative hypothesis for why students sing in hallways at a new school is the kids at the new school are more interested in arts based studies,the kids at the new school are more interested in arts based studies,0.39089257
165,A creative research question for a new planet outside of our galaxy is does it have a good oxygen supply ,does it have a good oxygen supply ,0.4978909
166,A creative research question for an unexplored part of the ocean floor is what minerals are found there?,what minerals are found there?,0.57049
167,A creative research question for an unexplored part of the ocean floor is what is the chemical composition of the water at this depth,what is the chemical composition of the water at this depth,0.72576594
168,A creative research question for a remote island with nonverbal communication is how do they express emotions,how do they express emotions,0.51139253
169,A creative research question for an unexplored part of the ocean floor is what is the maximum speed it can go ,what is the maximum speed it can go ,0.4002797
170,A creative research question for a new planet outside of our galaxy is what does the planet smell like?,what does the planet smell like?,0.57010907
171,A creative experiment for testing if animals have a sense of humor is see if behavior in animals become more 'out of its character' when they are with each other vs with humans.,see if behavior in animals become more 'out of its character' when they are with each other vs with humans.,0.4710773
172,A creative experiment for testing mind-reading abilities is ask your cousin what the person next to him is thinking. before hand tell the person that your cousin will attempt to read his mind and see what your cousin says the person is thinking. ,ask your cousin what the person next to him is thinking. before hand tell the person that your cousin will attempt to read his mind and see what your cousin says the person is thinking. ,0.4978909
173,A creative research question for a new planet outside of our galaxy is how big is it,How big is it,0.24629804
174,"A creative hypothesis for why there are massive holds in a field is construction, a plumbing issue that a pipe goes through and they are trying to find which pipe and where the leak is","construction, a plumbing issue that a pipe goes through and they are trying to find which pipe and where the leak is",0.6298836
175,A creative research question for an unexplored part of the ocean floor is are there any new plant species?,are there any new plant species?,0.48786828
176,A creative research question for a new planet outside of our galaxy is how big is this planet?,How big is this planet?,0.24629804
177,A creative hypothesis for why water is warmer in one lake than another is there are less organisms in one of them,There are less organisms in one of them,0.40919104
178,A creative hypothesis for why students sing in hallways at a new school is the school has a much happier environment,The school has a much happier environment,0.39089257
179,A creative research question for a new planet outside of our galaxy is does it support life,does it support life,0.2519095
180,A creative research question for a remote island with nonverbal communication is how come they don't speak,how come they don't speak,0.2691182
181,A creative hypothesis for why dogs like one friend and cats like another is dogs and cats are attracted to different human characteristics,dogs and cats are attracted to different human characteristics,0.43388668
182,"A creative experiment for testing if animals have a sense of humor is this would require an observational period. if the animals behaviors were observed and documented, scientists could review the footage and determine patterns in the behavior.","This would require an observational period. If the animals behaviors were observed and documented, scientists could review the footage and determine patterns in the behavior.",0.50045246
183,A creative hypothesis for why stars disappear from the sky is stars are disappearing from the sky because there is too much light pollution from the location you are viewing from.,stars are disappearing from the sky because there is too much light pollution from the location you are viewing from.,0.5656477
184,A creative research question for a new planet outside of our galaxy is what's the size?,What's the size?,0.24629804
185,A creative experiment for testing mind-reading abilities is you could have them read one of your siblings minds and then ask them what they were thinking about after,you could have them read one of your siblings minds and then ask them what they were thinking about after,0.4978909
186,A creative experiment for testing friendliness at different schools is conduct a survey to see if everyone else at your school feels the same way then do this same thing for the students at the other school,Conduct a survey to see if everyone else at your school feels the same way then do this same thing for the students at the other school,0.4424559
187,A creative experiment for testing friendliness at different schools is have a student drop a textbook and see if someone will pick it up for him,Have a student drop a textbook and see if someone will pick it up for him,0.65402013
188,"A creative experiment for testing bird's understanding of human speech is i predict birds understand humans, however they chose to ignore us. ","I predict birds understand humans, however they chose to ignore us. ",0.13338163
189,A creative experiment for testing if animals have a sense of humor is you could see reactions and study them,you could see reactions and study them,0.35092863
190,"A creative experiment for testing mind-reading abilities is have them read the mind of a stranger on the street, asked them what they read, and then ask the stranger what they just had been thinking about","have them read the mind of a stranger on the street, asked them what they read, and then ask the stranger what they just had been thinking about",0.14542043
191,"A creative hypothesis for why dogs like one friend and cats like another is a friend who resembles dogs may have round shaped face, soft impression from their face while another friend who resembles cats may have sharper, violent impression. for example, they may have sharper eyes.","a friend who resembles dogs may have round shaped face, soft impression from their face while another friend who resembles cats may have sharper, violent impression. for example, they may have sharper eyes.",0.85615927
192,A creative research question for a new planet outside of our galaxy is where is this planet?,Where is this planet?,0.33485132
193,A creative research question for a new planet outside of our galaxy is what temperatures do this planet range from,what temperatures do this planet range from,0.64335865
194,A creative research question for a new planet outside of our galaxy is in what ways is this planet different than earth,in what ways is this planet different than earth,0.4978909
195,A creative hypothesis for why students sing in hallways at a new school is they are very joyful people,they are very joyful people,0.42264095
196,A creative experiment for testing if animals have a sense of humor is display humorous encounters between these animals and gauge humans response to them,display humorous encounters between these animals and gauge humans response to them,0.57049
197,A creative research question for a remote island with nonverbal communication is are they peaceful,are they peaceful,0.56741947
198,A creative research question for a new planet outside of our galaxy is is there a potential for organic life on this planet,Is there a potential for organic life on this planet,0.36201036
199,A creative experiment for testing mind-reading abilities is play poker. it will be easy to win if you can read your opponents minds,Play poker. It will be easy to win if you can read your opponents minds,0.8566634
200,A creative experiment for testing friendliness at different schools is you hang out more with the people at your school.,you hang out more with the people at your school.,0.2785303
201,A creative experiment for testing bird's understanding of human speech is measure the brain waves of birds listening to humans talk and compare to how they listen to other birds communicating.,measure the brain waves of birds listening to humans talk and compare to how they listen to other birds communicating.,0.71823144
202,A creative experiment for testing bird's understanding of human speech is go near a bunch of birds and say something that would be important to their lives and see if it catches their attention,go near a bunch of birds and say something that would be important to their lives and see if it catches their attention,0.3712218
203,A creative research question for a new planet outside of our galaxy is are there any other species living on this planet,Are there any other species living on this planet,0.36201036
