ID,item,prompt,response,jrt,text,label
91643-study_3-3628,2,2,The friend that the dog likes more always has a treat in their pocket while the other friend always has cat treats,4.129735,A creative hypothesis for why dogs like one friend and cats like another is the friend that the dog likes more always has a treat in their pocket while the other friend always has cat treats,0.7365195
92343-study_3-4290,0,0,Birds are smarter than humans,1.1639887,A creative experiment for testing bird's understanding of human speech is birds are smarter than humans,0.20759211
91635-study_3-4870,6,6,Gather people until you find someone that can observe the humor significantly. See if they can explain the different humor,2.4243286,A creative experiment for testing if animals have a sense of humor is gather people until you find someone that can observe the humor significantly. see if they can explain the different humor,0.43236804
22-study_4-16001,11,11,How long can one survive on this planet before needed to leave?,3.8801758,A creative research question for a new planet outside of our galaxy is how long can one survive on this planet before needed to leave?,0.6920118
118-study_1-4542,10,10,is there a way that the species at the ocean floor can be examined,3.0603397,A creative research question for an unexplored part of the ocean floor is is there a way that the species at the ocean floor can be examined,0.5457977
64-study_1-2447,13,13,students are given more freedom,3.878188,A creative hypothesis for why students sing in hallways at a new school is students are given more freedom,0.69165725
63-study_4-17171,7,7,which kind animals live there,1.8775431,A creative research question for a jungle containing no human life is which kind animals live there,0.33485132
38-study_2-6479,13,13,the students at the new school are happier and less stressed than the old school,3.1987917,A creative hypothesis for why students sing in hallways at a new school is the students at the new school are happier and less stressed than the old school,0.57049
93922-study_3-2900,14,14,Something in the sky like an airplane moved and covered the light the stars gave off,3.1010604,A creative hypothesis for why stars disappear from the sky is something in the sky like an airplane moved and covered the light the stars gave off,0.55306005
dupe_average,11,11,what is the planet composed of,3.0643501,A creative research question for a new planet outside of our galaxy is what is the planet composed of,0.54651296
8-study_2-5979,8,8,there is more movement in the lake that is warmer,2.7917216,A creative hypothesis for why water is warmer in one lake than another is there is more movement in the lake that is warmer,0.4978909
94073-study_3-3969,8,8,Plant life under the surface of the water alters the temperature of the lake,2.294373,A creative hypothesis for why water is warmer in one lake than another is plant life under the surface of the water alters the temperature of the lake,0.40919104
71-study_1-2719,13,13,the school might have a bigger and more popular theater program than last year,2.3492498,A creative hypothesis for why students sing in hallways at a new school is the school might have a bigger and more popular theater program than last year,0.4189781
124-study_2-7761,14,14,"they are not stars, instead they are airplanes",3.5861773,"A creative hypothesis for why stars disappear from the sky is they are not stars, instead they are airplanes",0.6395785
145-study_1-5631,5,5,people are planting or getting ready for building,2.7893536,A creative hypothesis for why there are massive holds in a field is people are planting or getting ready for building,0.49746856
91-study_2-7289,0,0,"make a life or death situation for the bird. maybe like a scene from the movie saw or something. tell the bird what to do to save its life and if it understands the gravity of the situation and you, then it should do it. ",3.9935424,"A creative experiment for testing bird's understanding of human speech is make a life or death situation for the bird. maybe like a scene from the movie saw or something. tell the bird what to do to save its life and if it understands the gravity of the situation and you, then it should do it. ",0.7122302
91352-study_3-2213,13,13,"If that school has music playing in the hallways, then more people will sing",3.651727,"A creative hypothesis for why students sing in hallways at a new school is if that school has music playing in the hallways, then more people will sing",0.65126896
54-study_1-2066,7,7,are there any living species within this jungle,2.0961084,A creative research question for a jungle containing no human life is are there any living species within this jungle,0.37383145
117-study_4-18596,7,7,How have humans impacted the life of this jungle without being there?,2.6467524,A creative research question for a jungle containing no human life is how have humans impacted the life of this jungle without being there?,0.47203627
94087-study_3-937,1,1,What do you use to communicate with one another,2.3913717,A creative research question for a remote island with nonverbal communication is what do you use to communicate with one another,0.4264903
92272-study_3-2370,13,13,students enjoy to sing more at this school,2.1917717,A creative hypothesis for why students sing in hallways at a new school is students enjoy to sing more at this school,0.39089257
93803-study_3-5811,4,4,You could compare your experiences with students at your school to another individual similar to yourself at a different school,2.8746774,A creative experiment for testing friendliness at different schools is you could compare your experiences with students at your school to another individual similar to yourself at a different school,0.5126857
209-study_2-9124,7,7,any predators,2.465996,A creative research question for a jungle containing no human life is any predators,0.43979922
204-study_2-9045,13,13,this school is more laid back then your last school who might have been more strict with things ,3.3979437,A creative hypothesis for why students sing in hallways at a new school is this school is more laid back then your last school who might have been more strict with things ,0.6060079
2-study_2-5879,14,14,"the universe is beginning to die, and the furthest stars are those that die first. ",2.995658,"A creative hypothesis for why stars disappear from the sky is the universe is beginning to die, and the furthest stars are those that die first. ",0.534262
6-study_1-172,4,4,simulation to see how they respond to certain situations,3.09389,A creative experiment for testing friendliness at different schools is simulation to see how they respond to certain situations,0.55178124
137-study_1-5311,10,10,what new animals live here and why,2.5452685,A creative research question for an unexplored part of the ocean floor is what new animals live here and why,0.45393714
94084-study_3-4130,8,8,"The warmer lake is much smaller and has a lower volume of water so it takes less sunlight to raise its temperature, which is why it is warmer",2.7173057,"A creative hypothesis for why water is warmer in one lake than another is the warmer lake is much smaller and has a lower volume of water so it takes less sunlight to raise its temperature, which is why it is warmer",0.48461917
100-study_2-7433,1,1,"are sounds, if not speaking still a part of their expression",2.9540615,"A creative research question for a remote island with nonverbal communication is are sounds, if not speaking still a part of their expression",0.5268435
45-study_2-6605,7,7,are there plants in this jungle that can be found nowhere else?,1.9676902,A creative research question for a jungle containing no human life is are there plants in this jungle that can be found nowhere else?,0.35092863
94441-study_3-621,1,1,do they have civilization,1.3327309,A creative research question for a remote island with nonverbal communication is do they have civilization,0.23768651
57-study_1-2166,3,3,take sunlight away and see if it grows,2.081476,A creative experiment for testing effects of water and sunlight on flower growth is take sunlight away and see if it grows,0.3712218
92284-study_3-2586,13,13,This is a musical school,2.1917717,A creative hypothesis for why students sing in hallways at a new school is this is a musical school,0.39089257
93-study_1-3474,9,9,have the cousin guess about random strangers then ask them what they are thinking,0.8153862,A creative experiment for testing mind-reading abilities is have the cousin guess about random strangers then ask them what they are thinking,0.14542043
167-study_2-8438,1,1,what do their clothing represent,2.5872836,A creative research question for a remote island with nonverbal communication is what do their clothing represent,0.46143034
93389-study_3-4023,8,8,the difference of tempeture can cause a decrease in the ecosystem  populatation,2.7173057,A creative hypothesis for why water is warmer in one lake than another is the difference of tempeture can cause a decrease in the ecosystem  populatation,0.48461917
96-study_1-3594,3,3,add certain chemicals to plants and compare,3.09389,A creative experiment for testing effects of water and sunlight on flower growth is add certain chemicals to plants and compare,0.55178124
101-study_1-3844,11,11,is there a star similar to the sun that could produce light and heat?,4.2710285,A creative research question for a new planet outside of our galaxy is is there a star similar to the sun that could produce light and heat?,0.76171863
94049-study_3-4525,0,0,put a human and a bird in a room together and have the human give a talk about birds and see what the bird does,2.367636,A creative experiment for testing bird's understanding of human speech is put a human and a bird in a room together and have the human give a talk about birds and see what the bird does,0.42225713
57-study_4-17002,11,11,what is the climate like,3.197477,A creative research question for a new planet outside of our galaxy is what is the climate like,0.5702556
149-study_1-5769,12,12,how will this benefit the world?,2.3122728,A creative research question for a robot that can learn and think like humans is how will this benefit the world?,0.4123834
112-study_2-7590,14,14,I would say its because the stars are burning out or their light has ended after travelling many years through space,2.2444065,A creative hypothesis for why stars disappear from the sky is i would say its because the stars are burning out or their light has ended after travelling many years through space,0.4002797
202-study_2-9004,9,9,ask him to read you mind at random times throughout the day then ask him to summarize at the end of the day ,3.5861773,A creative experiment for testing mind-reading abilities is ask him to read you mind at random times throughout the day then ask him to summarize at the end of the day ,0.6395785
91643-study_3-1110,11,11,Are we aliens to them like they are to us,2.4243286,A creative research question for a new planet outside of our galaxy is are we aliens to them like they are to us,0.43236804
93137-study_3-795,1,1,How does human communication resemble and differ from animal communication,2.343438,A creative research question for a remote island with nonverbal communication is how does human communication resemble and differ from animal communication,0.41794154
42-study_4-16581,7,7,What kind of food is available in this jungle?,1.8775431,A creative research question for a jungle containing no human life is what kind of food is available in this jungle?,0.33485132
100-study_2-7422,0,0,"if the bird understand you and flies away, that means they understand, if they don't, they do not understand",1.6300882,"A creative experiment for testing bird's understanding of human speech is if the bird understand you and flies away, that means they understand, if they don't, they do not understand",0.29071885
20-study_1-720,2,2,friend who cat likes has a cat at home,1.8770367,A creative hypothesis for why dogs like one friend and cats like another is friend who cat likes has a cat at home,0.334761
82-study_2-7150,9,9,I can have my cousin and some people sit in the same room and write down topics on a piece of paper. some people in the group will know of this super power while others do not. the test will be to see if my cousin can get the same thing as the people who do not know their mind is being read,2.995658,A creative experiment for testing mind-reading abilities is i can have my cousin and some people sit in the same room and write down topics on a piece of paper. some people in the group will know of this super power while others do not. the test will be to see if my cousin can get the same thing as the people who do not know their mind is being read,0.534262
10-study_1-363,13,13,the new school is a very big musical school,1.8640614,A creative hypothesis for why students sing in hallways at a new school is the new school is a very big musical school,0.3324469
76-study_2-7074,9,9,read their mind when they are talking to someone,2.4328437,A creative experiment for testing mind-reading abilities is read their mind when they are talking to someone,0.43388668
68-study_4-17341,11,11,Any source of shelter?,2.8546374,A creative research question for a new planet outside of our galaxy is any source of shelter?,0.50911164
93370-study_3-3862,8,8,is animal life affected by the amount of sunlight shown,3.0616884,A creative hypothesis for why water is warmer in one lake than another is is animal life affected by the amount of sunlight shown,0.54603827
93505-study_3-4087,8,8,"the pH of one lake is lower than another, causing the temperature to rise",3.7851763,"A creative hypothesis for why water is warmer in one lake than another is the ph of one lake is lower than another, causing the temperature to rise",0.67506903
91171-study_3-3103,14,14,there are clouds in front of them,2.3949544,A creative hypothesis for why stars disappear from the sky is there are clouds in front of them,0.42712927
106-study_4-18309,11,11,Can the planet support all life?,2.3143444,A creative research question for a new planet outside of our galaxy is can the planet support all life?,0.41275284
91904-study_3-5691,4,4,send out a survey to different schools and look at results,2.0538101,A creative experiment for testing friendliness at different schools is send out a survey to different schools and look at results,0.3662877
43-study_2-6567,10,10,how long will it take to reach the bottom of the ocean,1.9676902,A creative research question for an unexplored part of the ocean floor is how long will it take to reach the bottom of the ocean,0.35092863
85-study_4-17773,7,7,has human life been here before,2.3143444,A creative research question for a jungle containing no human life is has human life been here before,0.41275284
166-study_2-8417,13,13,if students sing in the hallways now then maybe they just joined the choir,2.9540615,A creative hypothesis for why students sing in hallways at a new school is if students sing in the hallways now then maybe they just joined the choir,0.5268435
93992-study_3-2364,13,13,Students at this new school seem to be happier,2.1917717,A creative hypothesis for why students sing in hallways at a new school is students at this new school seem to be happier,0.39089257
93408-study_3-434,10,10,What life exists on this part of the ocean floor,1.180287,A creative research question for an unexplored part of the ocean floor is what life exists on this part of the ocean floor,0.21049882
27-study_1-986,9,9,assigning them friends to read minds and then asking the friends what they were thinking,0.8153862,A creative experiment for testing mind-reading abilities is assigning them friends to read minds and then asking the friends what they were thinking,0.14542043
91206-study_3-5392,4,4,By talking crap about someone in front of both sets of students and see who stands up for the kid more,3.2878523,A creative experiment for testing friendliness at different schools is by talking crap about someone in front of both sets of students and see who stands up for the kid more,0.58637357
100-study_1-3777,5,5,an institution for kids who get in trouble have to dig holes,2.369788,A creative hypothesis for why there are massive holds in a field is an institution for kids who get in trouble have to dig holes,0.42264095
40-study_2-6513,14,14,the stars are exploding or planes are flying past them,2.465996,A creative hypothesis for why stars disappear from the sky is the stars are exploding or planes are flying past them,0.43979922
9-study_1-320,13,13,there is a popular new song on the radio,3.1383855,A creative hypothesis for why students sing in hallways at a new school is there is a popular new song on the radio,0.5597168
dupe_average,11,11,how far is it from earth,2.2208343,A creative research question for a new planet outside of our galaxy is how far is it from earth,0.39607576
91652-study_3-5197,6,6,tell a joke and see the reaction of the animal compared to the human which could be laughter or confusion,2.0298264,A creative experiment for testing if animals have a sense of humor is tell a joke and see the reaction of the animal compared to the human which could be laughter or confusion,0.36201036
94461-study_3-5642,4,4,put groups of people from multiple schools in a social setting and see what group makes the most friends,3.2622929,A creative experiment for testing friendliness at different schools is put groups of people from multiple schools in a social setting and see what group makes the most friends,0.5818152
48-study_4-16756,11,11,Is there other life on the planet and how do they live?,2.708099,A creative research question for a new planet outside of our galaxy is is there other life on the planet and how do they live?,0.48297718
91685-study_3-5902,9,9,ask them to choose between thoughts with which one is real,2.30077,A creative experiment for testing mind-reading abilities is ask them to choose between thoughts with which one is real,0.41033193
90869-study_3-1650,7,7,can this jungle sustain life for any organism,2.0696135,A creative research question for a jungle containing no human life is can this jungle sustain life for any organism,0.36910617
91171-study_3-632,1,1,do they use gestures,2.202938,A creative research question for a remote island with nonverbal communication is do they use gestures,0.39288405
55-study_2-6738,9,9,then do it again on your dad ,0.7478835,A creative experiment for testing mind-reading abilities is then do it again on your dad ,0.13338163
54-study_4-16905,7,7,what is the flora and fauna in the jungle like?`,2.3143444,A creative research question for a jungle containing no human life is what is the flora and fauna in the jungle like?`,0.41275284
60-study_4-17079,11,11,Does this planet receieve it's heat from the sun?,3.034635,A creative research question for a new planet outside of our galaxy is does this planet receieve it's heat from the sun?,0.54121345
91297-study_3-5046,6,6,place animals in an enclosure or room where they cannot be contacted by humans,2.0298264,A creative experiment for testing if animals have a sense of humor is place animals in an enclosure or room where they cannot be contacted by humans,0.36201036
30-study_2-6347,1,1,in what way do you communicate,1.9676902,A creative research question for a remote island with nonverbal communication is in what way do you communicate,0.35092863
91616-study_3-3092,14,14,the world is either moving too fast or too slow than normal rate,2.3949544,A creative hypothesis for why stars disappear from the sky is the world is either moving too fast or too slow than normal rate,0.42712927
94600-study_3-4576,0,0,Say you are going to set up a trap infront of the bird to capture it and see how it reacts,3.660879,A creative experiment for testing bird's understanding of human speech is say you are going to set up a trap infront of the bird to capture it and see how it reacts,0.6529012
42-study_2-6539,0,0,test the brain activity of a bird when they are involved in a human dispute,2.797482,A creative experiment for testing bird's understanding of human speech is test the brain activity of a bird when they are involved in a human dispute,0.49891827
113-study_2-7604,9,9,take them out to random places and have your cousin try to talk to random people and have him write down what he thinks they are thinking and then ask the person what they are thinking ,2.7917216,A creative experiment for testing mind-reading abilities is take them out to random places and have your cousin try to talk to random people and have him write down what he thinks they are thinking and then ask the person what they are thinking ,0.4978909
89-study_4-17878,11,11,Could we try to move the human population to this new planet?,3.0595324,A creative research question for a new planet outside of our galaxy is could we try to move the human population to this new planet?,0.54565376
94116-study_3-117,10,10,how deep is this part of the ocean,1.180287,A creative research question for an unexplored part of the ocean floor is how deep is this part of the ocean,0.21049882
93020-study_3-3796,8,8,if a lake is geographically higher than the other it will be colder than the other lake because temperature drops as the height increases,3.7851763,A creative hypothesis for why water is warmer in one lake than another is if a lake is geographically higher than the other it will be colder than the other lake because temperature drops as the height increases,0.67506903
47-study_4-16722,11,11,to what extent does our galaxy influence our perception of travel,4.382903,A creative research question for a new planet outside of our galaxy is to what extent does our galaxy influence our perception of travel,0.78167087
101-study_4-18192,7,7,Why this jungle is important?,2.284786,A creative research question for a jungle containing no human life is why this jungle is important?,0.40748125
53-study_1-2000,6,6,"get a bunch of cats in a room together and give them catnip. watch how they behave. if they start pushing glasses off of counters, they might be making themselves laugh.",3.9552271,"A creative experiment for testing if animals have a sense of humor is get a bunch of cats in a room together and give them catnip. watch how they behave. if they start pushing glasses off of counters, they might be making themselves laugh.",0.70539683
59-study_2-6798,8,8,the warmer lake is shallower than the other lake,1.9676902,A creative hypothesis for why water is warmer in one lake than another is the warmer lake is shallower than the other lake,0.35092863
92343-study_3-5703,4,4,Set up group actitivities see how many people respond,2.0538101,A creative experiment for testing friendliness at different schools is set up group actitivities see how many people respond,0.3662877
90758-study_3-5875,9,9,ask him to randomly tell you your thoughts,2.943856,A creative experiment for testing mind-reading abilities is ask him to randomly tell you your thoughts,0.5250234
74-study_1-2826,5,5,are these reoccurring due to nature or were the holes places here for a specific reason?,3.6878772,A creative hypothesis for why there are massive holds in a field is are these reoccurring due to nature or were the holes places here for a specific reason?,0.65771616
67-study_2-6927,14,14,they weren't stars but rather meteors that have burnt out,3.8030534,A creative hypothesis for why stars disappear from the sky is they weren't stars but rather meteors that have burnt out,0.67825735
43-study_1-1615,0,0,test if bird's react to other organisms then compare it to how they react to humans,3.514393,A creative experiment for testing bird's understanding of human speech is test if bird's react to other organisms then compare it to how they react to humans,0.6267761
137-study_1-5284,4,4,observe what makes them friendly,1.5003335,A creative experiment for testing friendliness at different schools is observe what makes them friendly,0.26757768
94087-study_3-5462,4,4,"Get a random sample of students and put them is situations that would test their friendliness , this studets would not be from your school. Then get a random sample fo students from your school and put them in the same situation and see the results",2.4808922,"A creative experiment for testing friendliness at different schools is get a random sample of students and put them is situations that would test their friendliness , this studets would not be from your school. then get a random sample fo students from your school and put them in the same situation and see the results",0.4424559
57-study_4-17003,11,11,what star does it orbit,2.8546374,A creative research question for a new planet outside of our galaxy is what star does it orbit,0.50911164
75-study_2-7067,11,11,how far away is it from earth,2.2444065,A creative research question for a new planet outside of our galaxy is how far away is it from earth,0.4002797
93505-study_3-489,10,10,what species of aquatic life live here,1.3505875,A creative research question for an unexplored part of the ocean floor is what species of aquatic life live here,0.24087115
13-study_2-6070,14,14,the stars collected too much energy,2.7917216,A creative hypothesis for why stars disappear from the sky is the stars collected too much energy,0.4978909
73-study_1-2773,6,6,try to do different actions that humans would find funny and see if animals have any reactions to them.,2.5893493,A creative experiment for testing if animals have a sense of humor is try to do different actions that humans would find funny and see if animals have any reactions to them.,0.46179873
122-study_4-18733,7,7,What is there to eat in this jungle?,2.4761298,A creative research question for a jungle containing no human life is what is there to eat in this jungle?,0.44160655
50-study_1-1945,12,12,is this an ethical invention,3.6157458,A creative research question for a robot that can learn and think like humans is is this an ethical invention,0.64485186
72-study_4-17441,11,11,What percent of the atmosphere is oxygen?,2.7664397,A creative research question for a new planet outside of our galaxy is what percent of the atmosphere is oxygen?,0.49338198
78-study_2-7109,7,7,are there species we don't know about that live in this jungle?,1.9676902,A creative research question for a jungle containing no human life is are there species we don't know about that live in this jungle?,0.35092863
139-study_1-5382,5,5,how do these holes affect the wildlife that surrounds them?,1.5906461,A creative hypothesis for why there are massive holds in a field is how do these holes affect the wildlife that surrounds them?,0.28368452
91142-study_3-1331,11,11,Is there an atmosphere,2.0298264,A creative research question for a new planet outside of our galaxy is is there an atmosphere,0.36201036
92341-study_3-4052,8,8,The lake that is warmer may have different soil/water which may absorb heat differently,4.086529,A creative hypothesis for why water is warmer in one lake than another is the lake that is warmer may have different soil/water which may absorb heat differently,0.7288139
91652-study_3-491,10,10,what species of fish live here,1.723147,A creative research question for an unexplored part of the ocean floor is what species of fish live here,0.30731547
129-study_1-4948,3,3,keep sunlight constant and change water,2.081476,A creative experiment for testing effects of water and sunlight on flower growth is keep sunlight constant and change water,0.3712218
182-study_2-8667,10,10,"what kinds of life, if any, can be found in this part of the ocean",1.4124805,"A creative research question for an unexplored part of the ocean floor is what kinds of life, if any, can be found in this part of the ocean",0.2519095
140-study_2-8014,0,0,if they didn't flap twice I would assume that they don't understand,0.64764637,A creative experiment for testing bird's understanding of human speech is if they didn't flap twice i would assume that they don't understand,0.1155048
77-study_4-17561,11,11,Is it possible for life in general to live on this planet?,3.197477,A creative research question for a new planet outside of our galaxy is is it possible for life in general to live on this planet?,0.5702556
15-study_2-6091,4,4,figure out what classes and extracurriculars are available ,1.1508209,A creative experiment for testing friendliness at different schools is figure out what classes and extracurriculars are available ,0.20524369
51-study_4-16827,7,7,How does this ecosystem differ from our regular ecosystem,2.6467524,A creative research question for a jungle containing no human life is how does this ecosystem differ from our regular ecosystem,0.47203627
144-study_1-5602,7,7,why is there no human life in a jungle?,1.5089712,A creative research question for a jungle containing no human life is why is there no human life in a jungle?,0.2691182
115-study_1-4412,14,14,the time of night may be changing. it could be getting closer to morning,1.8770367,A creative hypothesis for why stars disappear from the sky is the time of night may be changing. it could be getting closer to morning,0.334761
122-study_1-4700,2,2,the pets that the two girls own might determine which animal is drawn to them. the girl that the dogs like might own dogs which is why they like her and vice versa.,3.1716404,A creative hypothesis for why dogs like one friend and cats like another is the pets that the two girls own might determine which animal is drawn to them. the girl that the dogs like might own dogs which is why they like her and vice versa.,0.5656477
93389-study_3-2530,13,13,There are more students singing because the school has music playing in the hallway,2.1917717,A creative hypothesis for why students sing in hallways at a new school is there are more students singing because the school has music playing in the hallway,0.39089257
93895-study_3-468,10,10,what organisms are there,1.180287,A creative research question for an unexplored part of the ocean floor is what organisms are there,0.21049882
193-study_2-8851,8,8,people are using chemical or man made water heaters,3.5861773,A creative hypothesis for why water is warmer in one lake than another is people are using chemical or man made water heaters,0.6395785
87-study_1-3294,14,14,the stars that are disappearing are old and dying,2.7657888,A creative hypothesis for why stars disappear from the sky is the stars that are disappearing are old and dying,0.4932659
202-study_2-9007,2,2,does your friend have a certain smell that each animal likes,2.7917216,A creative hypothesis for why dogs like one friend and cats like another is does your friend have a certain smell that each animal likes,0.4978909
1-study_1-40,11,11,how was this planet originally formed?,3.6037707,A creative research question for a new planet outside of our galaxy is how was this planet originally formed?,0.64271617
139-study_1-5378,2,2,the friends that the dog likes might not be the same gender as the people that your cat likes,3.5318172,A creative hypothesis for why dogs like one friend and cats like another is the friends that the dog likes might not be the same gender as the people that your cat likes,0.6298836
142-study_2-8058,1,1,do  people from this island have a harder  time  communicating  their feeling  than  people that  speak?,4.163837,A creative research question for a remote island with nonverbal communication is do  people from this island have a harder  time  communicating  their feeling  than  people that  speak?,0.7426015
108-study_1-4110,10,10,what types of species can i find on this part of the ocean floor?,2.0961084,A creative research question for an unexplored part of the ocean floor is what types of species can i find on this part of the ocean floor?,0.37383145
37-study_1-1387,11,11,does this planet have lifeforms different from humans?,2.0961084,A creative research question for a new planet outside of our galaxy is does this planet have lifeforms different from humans?,0.37383145
74-study_1-2848,11,11,does this planet have life on it already?,1.8217373,A creative research question for a new planet outside of our galaxy is does this planet have life on it already?,0.3248986
119-study_4-18637,7,7,How good/bad is the sun coverage?,3.2291474,A creative research question for a jungle containing no human life is how good/bad is the sun coverage?,0.5759038
8-study_1-275,13,13,they are practicing for the upcoming school musical,3.1716404,A creative hypothesis for why students sing in hallways at a new school is they are practicing for the upcoming school musical,0.5656477
92453-study_3-2793,14,14,If the stars are comets then they will disapper from the sky,4.9604044,A creative hypothesis for why stars disappear from the sky is if the stars are comets then they will disapper from the sky,0.8846656
93020-study_3-5334,4,4,ask people from other schools and your school to write a letter to a new exchange student,4.0787787,A creative experiment for testing friendliness at different schools is ask people from other schools and your school to write a letter to a new exchange student,0.7274317
114-study_1-4367,14,14,human eyes are flawed,1.1808436,A creative hypothesis for why stars disappear from the sky is human eyes are flawed,0.2105981
93289-study_3-5170,6,6,start laughing and see how they react,3.2189233,A creative experiment for testing if animals have a sense of humor is start laughing and see how they react,0.5740804
89-study_2-7265,10,10,how does life there interact with life above,3.943029,A creative research question for an unexplored part of the ocean floor is how does life there interact with life above,0.7032214
6-study_4-15646,11,11,Is their other life on this planet?,1.8897328,A creative research question for a new planet outside of our galaxy is is their other life on this planet?,0.33702528
64-study_4-17194,7,7,How long will I be here?,1.2583189,A creative research question for a jungle containing no human life is how long will i be here?,0.22441548
99-study_1-3727,9,9,just talk to them normally,1.5003335,A creative experiment for testing mind-reading abilities is just talk to them normally,0.26757768
90869-study_3-3413,2,2,"If someone owns a dog, then they must know how to better interact with dogs",3.0800214,"A creative hypothesis for why dogs like one friend and cats like another is if someone owns a dog, then they must know how to better interact with dogs",0.5493079
93486-study_3-2424,13,13,The new school is located in a city that has a lot of history of music,3.468465,A creative hypothesis for why students sing in hallways at a new school is the new school is located in a city that has a lot of history of music,0.61858505
4-study_1-114,5,5,people were drilling for oil,3.1716404,A creative hypothesis for why there are massive holds in a field is people were drilling for oil,0.5656477
112-study_1-4264,9,9,do the test on random people in a public place,0.8153862,A creative experiment for testing mind-reading abilities is do the test on random people in a public place,0.14542043
126-study_2-7791,9,9,have my cousin read the mind of the president and see if their actions coincide with the mind reading. ,5.008552,A creative experiment for testing mind-reading abilities is have my cousin read the mind of the president and see if their actions coincide with the mind reading. ,0.89325255
90847-study_3-6024,9,9,Have a study where participants only know the purpose of the study afterwards and the cousin reads their mind and they take a survey of how accurate the reading was,2.943856,A creative experiment for testing mind-reading abilities is have a study where participants only know the purpose of the study afterwards and the cousin reads their mind and they take a survey of how accurate the reading was,0.5250234
91919-study_3-1189,11,11,"does this planet have oxygen, so us humans can go explore it",2.8060844,"A creative research question for a new planet outside of our galaxy is does this planet have oxygen, so us humans can go explore it",0.50045246
112-study_4-18475,11,11,Is it a gaseous planet or does it have solid matter,3.5330381,A creative research question for a new planet outside of our galaxy is is it a gaseous planet or does it have solid matter,0.6301014
14-study_2-6078,0,0,by talking to a bird about killing it. that is important to its life and would make it talk if that hypothesis is true.,4.298901,A creative experiment for testing bird's understanding of human speech is by talking to a bird about killing it. that is important to its life and would make it talk if that hypothesis is true.,0.76668954
23-study_1-843,8,8,one side might be more active than the other? for instance people might be on the left side making it just a tad warmer?,3.1716404,A creative hypothesis for why water is warmer in one lake than another is one side might be more active than the other? for instance people might be on the left side making it just a tad warmer?,0.5656477
92284-study_3-2844,14,14,is this situation different in different parts of the world,3.6329079,A creative hypothesis for why stars disappear from the sky is is this situation different in different parts of the world,0.6479127
94049-study_3-2404,13,13,the kids at the new school are more interested in arts based studies,2.1917717,A creative hypothesis for why students sing in hallways at a new school is the kids at the new school are more interested in arts based studies,0.39089257
162-study_2-8355,11,11,does it have a good oxygen supply ,2.7917216,A creative research question for a new planet outside of our galaxy is does it have a good oxygen supply ,0.4978909
176-study_2-8571,10,10,what minerals are found there?,3.1987917,A creative research question for an unexplored part of the ocean floor is what minerals are found there?,0.57049
90844-study_3-345,10,10,what is the chemical composition of the water at this depth,4.0694385,A creative research question for an unexplored part of the ocean floor is what is the chemical composition of the water at this depth,0.72576594
91963-study_3-769,1,1,how do they express emotions,2.8674266,A creative research question for a remote island with nonverbal communication is how do they express emotions,0.51139253
